epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,73.0997,2.03436,0.70909,0.98182,1.31664,3.29897e-05,3.29897e-05,0.0670433
2,145.573,1.25324,0.81212,0.99394,0.71442,6.08514e-05,6.08514e-05,0.0337378
3,218.227,0.89929,0.86667,1,0.44658,8.32131e-05,8.32131e-05,0.000426856
4,290.558,0.71652,0.89697,1,0.31564,7.525e-05,7.525e-05,7.525e-05
5,362.883,0.5921,0.92121,1,0.27671,6.7e-05,6.7e-05,6.7e-05
6,433.646,0.47975,0.93333,1,0.20925,5.875e-05,5.875e-05,5.875e-05
7,505.412,0.41399,0.95152,1,0.20203,5.05e-05,5.05e-05,5.05e-05
8,578.065,0.42837,0.95152,1,0.16869,4.225e-05,4.225e-05,4.225e-05
9,649.747,0.36106,0.93939,1,0.17787,3.4e-05,3.4e-05,3.4e-05
10,721.322,0.3511,0.95152,0.99394,0.15126,2.575e-05,2.575e-05,2.575e-05
11,791.985,0.33484,0.95758,1,0.18025,1.75e-05,1.75e-05,1.75e-05
12,865.069,0.28519,0.94545,0.99394,0.15538,9.25e-06,9.25e-06,9.25e-06
