epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,61.7519,1.9993,0.66667,0.9697,1.30134,3.29897e-05,3.29897e-05,0.0670433
2,122.557,1.35605,0.8,1,0.82797,6.08514e-05,6.08514e-05,0.0337378
3,183.077,1.02331,0.83636,1,0.6411,8.32131e-05,8.32131e-05,0.000426856
4,243.313,0.81915,0.86061,1,0.46647,7.525e-05,7.525e-05,7.525e-05
5,302.672,0.69571,0.87879,1,0.38258,6.7e-05,6.7e-05,6.7e-05
6,362.82,0.5964,0.88485,1,0.3411,5.875e-05,5.875e-05,5.875e-05
7,422.142,0.56081,0.90303,1,0.27906,5.05e-05,5.05e-05,5.05e-05
8,481.777,0.52744,0.92727,1,0.22974,4.225e-05,4.225e-05,4.225e-05
9,541.616,0.44047,0.92727,1,0.26742,3.4e-05,3.4e-05,3.4e-05
10,601.975,0.43705,0.93333,1,0.21307,2.575e-05,2.575e-05,2.575e-05
11,660.958,0.43506,0.93333,1,0.24163,1.75e-05,1.75e-05,1.75e-05
12,720.219,0.3993,0.92121,1,0.1997,9.25e-06,9.25e-06,9.25e-06
