epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,62.1846,1.98521,0.59394,0.94545,1.40856,3.29897e-05,3.29897e-05,0.0670433
2,118.301,1.37323,0.78788,0.96364,0.86236,6.08514e-05,6.08514e-05,0.0337378
3,171.406,1.04308,0.83636,0.97576,0.61833,8.32131e-05,8.32131e-05,0.000426856
4,224.413,0.83487,0.86061,0.99394,0.48033,7.525e-05,7.525e-05,7.525e-05
5,277.829,0.74669,0.89697,1,0.38541,6.7e-05,6.7e-05,6.7e-05
6,330.537,0.60031,0.88485,1,0.29129,5.875e-05,5.875e-05,5.875e-05
7,383.106,0.56475,0.88485,1,0.25948,5.05e-05,5.05e-05,5.05e-05
8,435.987,0.53798,0.89697,1,0.21152,4.225e-05,4.225e-05,4.225e-05
9,488.725,0.49115,0.93939,1,0.21154,3.4e-05,3.4e-05,3.4e-05
10,540.904,0.444,0.92121,0.99394,0.20282,2.575e-05,2.575e-05,2.575e-05
11,592.968,0.45919,0.92121,1,0.21462,1.75e-05,1.75e-05,1.75e-05
12,645.587,0.41756,0.93939,1,0.18612,9.25e-06,9.25e-06,9.25e-06
